relative_path,absolute_path,entry_type,depth,parent,extension,file_count_recursive,total_bytes_recursive,modified_time,sha256,hash_status,is_gitignored,is_symlink,is_empty,top_level_group,contains_rgb,contains_labels,contains_masks,contains_overlay,contains_blend,contains_3d_models,contains_textures,contains_manifest,contains_license,contains_weights,referenced_by_code_count,referenced_by_code_paths,ext_histogram,evidence
data/pallet,E:\CODING\GitHub\FoundationPose\data\pallet,dir,0,,,363015,191023311090,2026-07-28 02:40,,N/A_DIR,true,false,false,(root),true,true,true,true,true,true,true,true,true,false,527,AGENTS.md:41;CLAUDE.md:41;_docs/attribution_cc-by_appendix.md:11;_docs/attribution_cc-by_appendix.md:40;_docs/attribution_cc-by_appendix.md:42;_docs/blender_mcp_onboarding.md:135;_docs/blender_mcp_onboarding.md:138;_docs/blender_mcp_onboarding.md:140;_docs/blender_mcp_onboarding.md:142;_docs/blender_mcp_onboarding.md:144;_docs/blender_mcp_onboarding.md:145;_docs/blender_mcp_onboarding.md:149,.png=245653;.json=111249;.jpg=2478;.usd=1862;.log=380;.jsonl=139;.pbtxt=128;.config=128,img=248151;json=111249/jsonl=139
data/pallet/archive,E:\CODING\GitHub\FoundationPose\data\pallet\archive,dir,1,data/pallet,,328942,89794719163,2026-07-25 13:44,,N/A_DIR,true,false,false,archive,true,true,true,true,false,true,true,false,true,false,11,_docs/blender_mcp_onboarding.md:233;_docs/history/2026-07-28.md:165;reports/v2_overlay_fix/final_report.md:23;reports/v2_overlay_fix/visual_verification.md:38;reports/v2_overlay_fix/visual_verification.md:4;scripts/data_prep/blender/_make_archive_vs_new_sheet.py:22;scripts/data_prep/blender/_verify_archive_style_pixels.py:48;scripts/data_prep/blender/overlay_archive_trunc_style.py:6;scripts/data_prep/blender/overlay_v2_detailed.py:9;scripts/data_prep/blender/tests/test_overlay_archive_trunc_style.py:4;scripts/data_prep/blender/tests/test_overlay_archive_trunc_style.py:42,.png=221318;.json=107271;.log=315;.txt=12;.py=11;.md=3;.pyc=3;.jpg=3,img=221321;json=107271/jsonl=0
data/pallet/archive/rotation_debug,E:\CODING\GitHub\FoundationPose\data\pallet\archive\rotation_debug,dir,2,data/pallet/archive,,4,1550217,2026-04-22 22:21,,N/A_DIR,true,false,false,archive,false,false,false,false,false,false,false,false,false,false,0,,.png=4,
data/pallet/archive/runtime_pallet_debug,E:\CODING\GitHub\FoundationPose\data\pallet\archive\runtime_pallet_debug,dir,2,data/pallet/archive,,4,1819819,2026-04-22 22:21,,N/A_DIR,true,false,false,archive,false,false,false,false,false,false,false,false,false,false,0,,.png=4,
data/pallet/archive/test_blender_v1,E:\CODING\GitHub\FoundationPose\data\pallet\archive\test_blender_v1,dir,2,data/pallet/archive,,63,14124145,2026-04-22 22:21,,N/A_DIR,true,false,false,archive,true,true,false,true,false,false,false,false,false,false,0,,.png=33;.json=30,img=33;json=30/jsonl=0
data/pallet/archive/test_blender_v1/overlay,E:\CODING\GitHub\FoundationPose\data\pallet\archive\test_blender_v1\overlay,dir,3,data/pallet/archive/test_blender_v1,,0,0,2026-03-25 23:43,,N/A_DIR,true,false,true,archive,false,false,false,false,false,false,false,false,false,false,0,,,
data/pallet/archive/test_blender_v10,E:\CODING\GitHub\FoundationPose\data\pallet\archive\test_blender_v10,dir,2,data/pallet/archive,,30,9258721,2026-04-22 22:21,,N/A_DIR,true,false,false,archive,true,true,false,true,false,false,false,false,false,false,0,,.png=20;.json=10,img=20;json=10/jsonl=0
data/pallet/archive/test_blender_v10/overlay,E:\CODING\GitHub\FoundationPose\data\pallet\archive\test_blender_v10\overlay,dir,3,data/pallet/archive/test_blender_v10,,10,4475965,2026-04-22 22:21,,N/A_DIR,true,false,false,archive,true,false,false,true,false,false,false,false,false,false,0,,.png=10,img=10
data/pallet/archive/test_blender_v11,E:\CODING\GitHub\FoundationPose\data\pallet\archive\test_blender_v11,dir,2,data/pallet/archive,,30,9646016,2026-04-22 22:21,,N/A_DIR,true,false,false,archive,true,true,false,true,false,false,false,false,false,false,0,,.png=20;.json=10,img=20;json=10/jsonl=0
data/pallet/archive/test_blender_v11/overlay,E:\CODING\GitHub\FoundationPose\data\pallet\archive\test_blender_v11\overlay,dir,3,data/pallet/archive/test_blender_v11,,10,4692962,2026-04-22 22:21,,N/A_DIR,true,false,false,archive,true,false,false,true,false,false,false,false,false,false,0,,.png=10,img=10
data/pallet/archive/test_blender_v12,E:\CODING\GitHub\FoundationPose\data\pallet\archive\test_blender_v12,dir,2,data/pallet/archive,,30,9680287,2026-04-22 22:21,,N/A_DIR,true,false,false,archive,true,true,false,true,false,false,false,false,false,false,0,,.png=20;.json=10,img=20;json=10/jsonl=0
data/pallet/archive/test_blender_v12/overlay,E:\CODING\GitHub\FoundationPose\data\pallet\archive\test_blender_v12\overlay,dir,3,data/pallet/archive/test_blender_v12,,10,4733384,2026-04-22 22:21,,N/A_DIR,true,false,false,archive,true,false,false,true,false,false,false,false,false,false,0,,.png=10,img=10
data/pallet/archive/test_blender_v13,E:\CODING\GitHub\FoundationPose\data\pallet\archive\test_blender_v13,dir,2,data/pallet/archive,,30,9562151,2026-04-22 22:21,,N/A_DIR,true,false,false,archive,true,true,false,true,false,false,false,false,false,false,0,,.png=20;.json=10,img=20;json=10/jsonl=0
data/pallet/archive/test_blender_v13/overlay,E:\CODING\GitHub\FoundationPose\data\pallet\archive\test_blender_v13\overlay,dir,3,data/pallet/archive/test_blender_v13,,10,4653500,2026-04-22 22:21,,N/A_DIR,true,false,false,archive,true,false,false,true,false,false,false,false,false,false,0,,.png=10,img=10
data/pallet/archive/test_blender_v14,E:\CODING\GitHub\FoundationPose\data\pallet\archive\test_blender_v14,dir,2,data/pallet/archive,,30,9655600,2026-04-22 22:21,,N/A_DIR,true,false,false,archive,true,true,false,true,false,false,false,false,false,false,0,,.png=20;.json=10,img=20;json=10/jsonl=0
