datablock_name,old_filepath,old_absolute,old_sha256,new_filepath,new_absolute,new_sha256,same_file,users,owner_nodes,status,blocker
SchoolChair_01_diff,E:\CODING\GitHub\FoundationPose\data\pallet\distractors\medium\ph__SchoolChair_01\textures\SchoolChair_01_diff_1k.jpg,E:\CODING\GitHub\FoundationPose\data\pallet\distractors\medium\ph__SchoolChair_01\textures\SchoolChair_01_diff_1k.jpg,f10ae4dbddfb056ef716770ebd96e0eff0aa6f0b5ad0f263ff51c5cade6e1d8f,//../distractors/medium/ph__SchoolChair_01/textures/SchoolChair_01_diff_1k.jpg,E:\CODING\GitHub\FoundationPose\data\pallet\distractors\medium\ph__SchoolChair_01\textures\SchoolChair_01_diff_1k.jpg,f10ae4dbddfb056ef716770ebd96e0eff0aa6f0b5ad0f263ff51c5cade6e1d8f,True,1,material:SchoolChair_01/Image Texture,PLANNED,
SchoolChair_01_metallic-SchoolChair_01_roughness,E:\CODING\GitHub\FoundationPose\data\pallet\distractors\medium\ph__SchoolChair_01\textures\SchoolChair_01_arm_1k.jpg,E:\CODING\GitHub\FoundationPose\data\pallet\distractors\medium\ph__SchoolChair_01\textures\SchoolChair_01_arm_1k.jpg,ff773eb01c9d59130dc3cc0274951ac626d73fa1b2f7eee519af4ca80835568b,//../distractors/medium/ph__SchoolChair_01/textures/SchoolChair_01_arm_1k.jpg,E:\CODING\GitHub\FoundationPose\data\pallet\distractors\medium\ph__SchoolChair_01\textures\SchoolChair_01_arm_1k.jpg,ff773eb01c9d59130dc3cc0274951ac626d73fa1b2f7eee519af4ca80835568b,True,1,material:SchoolChair_01/Image Texture.001,PLANNED,
SchoolChair_01_nor_gl,E:\CODING\GitHub\FoundationPose\data\pallet\distractors\medium\ph__SchoolChair_01\textures\SchoolChair_01_nor_gl_1k.jpg,E:\CODING\GitHub\FoundationPose\data\pallet\distractors\medium\ph__SchoolChair_01\textures\SchoolChair_01_nor_gl_1k.jpg,4ee930562ad26e8c98af75e8aa6577d01cb56f6d22628f4e95c385e5364f0623,//../distractors/medium/ph__SchoolChair_01/textures/SchoolChair_01_nor_gl_1k.jpg,E:\CODING\GitHub\FoundationPose\data\pallet\distractors\medium\ph__SchoolChair_01\textures\SchoolChair_01_nor_gl_1k.jpg,4ee930562ad26e8c98af75e8aa6577d01cb56f6d22628f4e95c385e5364f0623,True,1,material:SchoolChair_01/Image Texture.002,PLANNED,
SchoolDesk_01_diff,E:\CODING\GitHub\FoundationPose\data\pallet\distractors\medium\ph__SchoolDesk_01\textures\SchoolDesk_01_diff_1k.jpg,E:\CODING\GitHub\FoundationPose\data\pallet\distractors\medium\ph__SchoolDesk_01\textures\SchoolDesk_01_diff_1k.jpg,4fed6d98265c6be27b9e6c9b010a5bba55a9aca4edfcc3fae9a12309ca6a5b94,//../distractors/medium/ph__SchoolDesk_01/textures/SchoolDesk_01_diff_1k.jpg,E:\CODING\GitHub\FoundationPose\data\pallet\distractors\medium\ph__SchoolDesk_01\textures\SchoolDesk_01_diff_1k.jpg,4fed6d98265c6be27b9e6c9b010a5bba55a9aca4edfcc3fae9a12309ca6a5b94,True,1,material:SchoolDesk_01/Image Texture,PLANNED,
SchoolDesk_01_metallic-SchoolDesk_01_roughness,E:\CODING\GitHub\FoundationPose\data\pallet\distractors\medium\ph__SchoolDesk_01\textures\SchoolDesk_01_arm_1k.jpg,E:\CODING\GitHub\FoundationPose\data\pallet\distractors\medium\ph__SchoolDesk_01\textures\SchoolDesk_01_arm_1k.jpg,ee1e2ea17ca21471b8a4822400ddc6bd3a4d441822a7eb429bef8cb1ab6dd43d,//../distractors/medium/ph__SchoolDesk_01/textures/SchoolDesk_01_arm_1k.jpg,E:\CODING\GitHub\FoundationPose\data\pallet\distractors\medium\ph__SchoolDesk_01\textures\SchoolDesk_01_arm_1k.jpg,ee1e2ea17ca21471b8a4822400ddc6bd3a4d441822a7eb429bef8cb1ab6dd43d,True,1,material:SchoolDesk_01/Image Texture.001,PLANNED,
SchoolDesk_01_nor_gl,E:\CODING\GitHub\FoundationPose\data\pallet\distractors\medium\ph__SchoolDesk_01\textures\SchoolDesk_01_nor_gl_1k.jpg,E:\CODING\GitHub\FoundationPose\data\pallet\distractors\medium\ph__SchoolDesk_01\textures\SchoolDesk_01_nor_gl_1k.jpg,64de8791fec46894945136190504127d194c1fc8d999e15c639dc94d053581be,//../distractors/medium/ph__SchoolDesk_01/textures/SchoolDesk_01_nor_gl_1k.jpg,E:\CODING\GitHub\FoundationPose\data\pallet\distractors\medium\ph__SchoolDesk_01\textures\SchoolDesk_01_nor_gl_1k.jpg,64de8791fec46894945136190504127d194c1fc8d999e15c639dc94d053581be,True,1,material:SchoolDesk_01/Image Texture.002,PLANNED,
Shelf_01_diff.png,E:\CODING\GitHub\FoundationPose\data\pallet\distractors\indoor\ph__Shelf_01\textures\Shelf_01_diff_1k.jpg,E:\CODING\GitHub\FoundationPose\data\pallet\distractors\indoor\ph__Shelf_01\textures\Shelf_01_diff_1k.jpg,875bb8110dec4f409d9127cba95f7c0ead02bdfeef6dd47232df939e4de35a5c,//../distractors/indoor/ph__Shelf_01/textures/Shelf_01_diff_1k.jpg,E:\CODING\GitHub\FoundationPose\data\pallet\distractors\indoor\ph__Shelf_01\textures\Shelf_01_diff_1k.jpg,875bb8110dec4f409d9127cba95f7c0ead02bdfeef6dd47232df939e4de35a5c,True,1,material:Shelf_01/Image Texture,PLANNED,
Shelf_01_metallic.png-Shelf_01_roughness,E:\CODING\GitHub\FoundationPose\data\pallet\distractors\indoor\ph__Shelf_01\textures\Shelf_01_arm_1k.jpg,E:\CODING\GitHub\FoundationPose\data\pallet\distractors\indoor\ph__Shelf_01\textures\Shelf_01_arm_1k.jpg,d5d180b15c48ed6ab7b27a663de8f399f813ed0c32ff2706520d677a1e387cdc,//../distractors/indoor/ph__Shelf_01/textures/Shelf_01_arm_1k.jpg,E:\CODING\GitHub\FoundationPose\data\pallet\distractors\indoor\ph__Shelf_01\textures\Shelf_01_arm_1k.jpg,d5d180b15c48ed6ab7b27a663de8f399f813ed0c32ff2706520d677a1e387cdc,True,1,material:Shelf_01/Image Texture.001,PLANNED,
Shelf_01_nor_gl.png,E:\CODING\GitHub\FoundationPose\data\pallet\distractors\indoor\ph__Shelf_01\textures\Shelf_01_nor_gl_1k.jpg,E:\CODING\GitHub\FoundationPose\data\pallet\distractors\indoor\ph__Shelf_01\textures\Shelf_01_nor_gl_1k.jpg,c817d7966974be2da13e4b0a57918e8e142edc50eb41d438229c3bad70df0f91,//../distractors/indoor/ph__Shelf_01/textures/Shelf_01_nor_gl_1k.jpg,E:\CODING\GitHub\FoundationPose\data\pallet\distractors\indoor\ph__Shelf_01\textures\Shelf_01_nor_gl_1k.jpg,c817d7966974be2da13e4b0a57918e8e142edc50eb41d438229c3bad70df0f91,True,1,material:Shelf_01/Image Texture.002,PLANNED,
WetFloorSign_01_diff,E:\CODING\GitHub\FoundationPose\data\pallet\distractors\road\ph__WetFloorSign_01\textures\WetFloorSign_01_diff_1k.jpg,E:\CODING\GitHub\FoundationPose\data\pallet\distractors\road\ph__WetFloorSign_01\textures\WetFloorSign_01_diff_1k.jpg,01e18486a858defc0f44a73ec5037c4bee770bae88e7fed5beb6877df120fa90,//../distractors/road/ph__WetFloorSign_01/textures/WetFloorSign_01_diff_1k.jpg,E:\CODING\GitHub\FoundationPose\data\pallet\distractors\road\ph__WetFloorSign_01\textures\WetFloorSign_01_diff_1k.jpg,01e18486a858defc0f44a73ec5037c4bee770bae88e7fed5beb6877df120fa90,True,1,material:WetFloorSign_01/Image Texture,PLANNED,
