package,stripped_prefix,entry_count,top_level_entries
pallet.zip,,60022,"{""train_palletobj_v1"": 30012, ""train_palletobj_v2"": 30010}"
test_blender_v64.zip,,6000,"{""overlay"": 2000, ""000000.json"": 1, ""000000.png"": 1, ""000001.json"": 1, ""000001.png"": 1, ""000002.json"": 1, ""000002.png"": 1, ""000003.json"": 1, ""000003.png"": 1, ""000004.json"": 1}"
test_blender_v65.zip,,300,"{""overlay"": 100, ""000000.json"": 1, ""000000.png"": 1, ""000001.json"": 1, ""000001.png"": 1, ""000002.json"": 1, ""000002.png"": 1, ""000003.json"": 1, ""000003.png"": 1, ""000004.json"": 1}"
test_blender_v68.zip,,3000,"{""overlay"": 1000, ""000000.json"": 1, ""000000.png"": 1, ""000001.json"": 1, ""000001.png"": 1, ""000002.json"": 1, ""000002.png"": 1, ""000003.json"": 1, ""000003.png"": 1, ""000004.json"": 1}"
test_blender_v69.zip,,12000,"{""overlay"": 4000, ""000000.json"": 1, ""000000.png"": 1, ""000001.json"": 1, ""000001.png"": 1, ""000002.json"": 1, ""000002.png"": 1, ""000003.json"": 1, ""000003.png"": 1, ""000004.json"": 1}"
test_blender_v70.zip,,3000,"{""overlay"": 1000, ""000000.json"": 1, ""000000.png"": 1, ""000001.json"": 1, ""000001.png"": 1, ""000002.json"": 1, ""000002.png"": 1, ""000003.json"": 1, ""000003.png"": 1, ""000004.json"": 1}"
test_indoor_v1.zip,,3000,"{""overlay"": 1000, ""000000.json"": 1, ""000000.png"": 1, ""000001.json"": 1, ""000001.png"": 1, ""000002.json"": 1, ""000002.png"": 1, ""000003.json"": 1, ""000003.png"": 1, ""000004.json"": 1}"
train_4pallet_mask_v1.zip,,40040,"{""mask"": 10000, ""overlay"": 10000, ""logs"": 40, ""000000.json"": 1, ""000000.png"": 1, ""000001.json"": 1, ""000001.png"": 1, ""000002.json"": 1, ""000002.png"": 1, ""000003.json"": 1}"
train_palletobj_addon_v1.zip,,24002,"{""mask"": 6000, ""overlay"": 6000, ""000000.json"": 1, ""000000.png"": 1, ""000001.json"": 1, ""000001.png"": 1, ""000002.json"": 1, ""000002.png"": 1, ""000003.json"": 1, ""000003.png"": 1}"
train_palletobj_v1 (2).zip,train_palletobj_v1,30012,"{""overlay"": 9999, ""logs"": 10, ""000000.json"": 1, ""000000.png"": 1, ""000001.json"": 1, ""000001.png"": 1, ""000002.json"": 1, ""000002.png"": 1, ""000003.json"": 1, ""000003.png"": 1}"
train_palletobj_v1.zip,,0,{}
train_palletobj_v2 (2).zip,train_palletobj_v2,30010,"{""overlay"": 9996, ""logs"": 14, ""000000.json"": 1, ""000000.png"": 1, ""000001.json"": 1, ""000001.png"": 1, ""000002.json"": 1, ""000002.png"": 1, ""000003.json"": 1, ""000003.png"": 1}"
train_palletobj_v2.zip,train_palletobj_v2,30010,"{""overlay"": 9996, ""logs"": 14, ""000000.json"": 1, ""000000.png"": 1, ""000001.json"": 1, ""000001.png"": 1, ""000002.json"": 1, ""000002.png"": 1, ""000003.json"": 1, ""000003.png"": 1}"
train_palletobj_v3.zip,,40002,"{""batch_000"": 4000, ""batch_001"": 4000, ""batch_002"": 4000, ""batch_003"": 4000, ""batch_004"": 4000, ""batch_005"": 4000, ""batch_006"": 4000, ""batch_007"": 4000, ""batch_008"": 4000, ""batch_009"": 4000}"
trunc_addon_v1.zip,,24010,"{""mask"": 6000, ""overlay"": 6000, ""audit_eye"": 9, ""000000.json"": 1, ""000000.png"": 1, ""000001.json"": 1, ""000001.png"": 1, ""000002.json"": 1, ""000002.png"": 1, ""000003.json"": 1}"
archive/packages/background_sources/modular_buildings_industrial_area..zip,,29,"{""textures"": 26, ""license.txt"": 1, ""scene.bin"": 1, ""scene.gltf"": 1}"
archive/packages/background_sources/modular_buildings_industrial_area.zip,,29,"{""textures"": 26, ""license.txt"": 1, ""scene.bin"": 1, ""scene.gltf"": 1}"
archive/packages/background_sources/parking_lot.zip,,44,"{""textures"": 41, ""license.txt"": 1, ""scene.bin"": 1, ""scene.gltf"": 1}"
archive/training_data_v4_emptywood/training_data_v4_emptywood.zip,,6600,"{""train_batch_000"": 600, ""train_batch_001"": 600, ""train_batch_002"": 600, ""train_batch_003"": 600, ""train_batch_004"": 600, ""train_batch_005"": 600, ""train_batch_006"": 600, ""train_batch_007"": 600, ""train_batch_008"": 600, ""train_batch_009"": 600}"
archive/training_data_v4_split/training_data_v4_split.zip,,12000,"{""train_batch_000"": 600, ""train_batch_001"": 600, ""train_batch_002"": 600, ""train_batch_003"": 600, ""train_batch_004"": 600, ""train_batch_005"": 600, ""train_batch_006"": 600, ""train_batch_007"": 600, ""train_batch_008"": 600, ""train_batch_009"": 600}"
