path,depth,type,files,bytes,classification,why_retained,associated_plan_row,plan_status,registry_keys,current_runtime_test_refs,prior_ledger,d12_cohort,d12_registry_key,license_status,exclusion_status,is_empty,in_stage2a_archive_plan,proposed_action
data/pallet/README.md,1,file,1,10752,MANAGEMENT_FILE,관리 파일 — 유지,,,,0,,,,,not excluded,False,no,유지
data/pallet/_DISTRIBUTION_EXCLUDE.txt,1,file,1,4883,MANAGEMENT_FILE,관리 파일 — 유지,,,,0,,,,,not excluded,False,no,유지
data/pallet/archive,1,dir,346868,181091951199,EXPECTED_ROOT,권장 구조 — 유지,,,archive_root,0,,,,,not excluded,False,no,유지
data/pallet/assets,1,dir,1554,5381403719,EXPECTED_ROOT,권장 구조 — 유지,,,assets_root,0,,,,,not excluded,False,no,유지
data/pallet/isaac_assets,1,dir,4543,4350676768,KEEP_QUARANTINE,NVIDIA EULA (ledger B6) — 이동 금지,D1-059,KEEP_QUARANTINE,,2,,,,재배포 불가,EXCLUDED (isaac_assets),False,no,유지
data/pallet/manifests,1,dir,5,348672,EXPECTED_ROOT,권장 구조 — 유지,,,manifests_root,0,,,,,not excluded,False,no,유지
data/pallet/reference,1,dir,3135,437509283,EXPECTED_ROOT,권장 구조 — 유지,,,reference_root,0,,,,,not excluded,False,no,유지
data/pallet/release,1,dir,1,2512,EXPECTED_ROOT,권장 구조 — 유지,,,release_root,0,,,,,not excluded,False,no,유지
data/pallet/runs,1,dir,6982,1206352337,EXPECTED_ROOT,권장 구조 — 유지,,,runs_root,0,,,,,not excluded,False,no,유지
data/pallet/archive/README.md,2,file,1,5289,MANAGEMENT_FILE,관리 파일 — 유지,,,,0,,,,,not excluded,False,no,유지
