usable_id,frame_id,azimuth_deg,elevation_deg,camera_distance_m,camera_distance_record_m,elev_actual_record_deg,projected_size_actual,projected_size_target,diagnostic_mode,pallet_type,background_asset,scene_preset,cargo_on
0,f0000,129.22018406888643,53.530636644991134,4.413262071455728,4.413262063086147,53.530636850482665,0.3435656423608599,0.252071630805547,clean-static,Pallet_0,parking_lot,random-mix,False
1,f0001,188.1898044647695,48.77145630347113,4.900788415291913,4.900788412354,48.771456317885516,0.18617153648017853,0.14166452535178414,cargo-only,Pallet_2,parking_lot,indoor,True
2,f0002,322.2360414134717,11.37963253831208,7.040353527636836,7.040353527407139,11.37963252902422,0.11885516058195753,0.08199391017187155,context-rich,Pallet_1,parking_lot,outdoor-day,True
3,f0003,214.53548892353132,6.1514999983035406,1.545761740400969,1.545761740276221,6.151499955401066,0.5665725418326082,0.4165966857017232,controlled-occlusion,Pallet_3,parking_lot,outdoor-night,False
4,f0004,355.7902601514777,7.934519049779742,1.7995829202196898,1.7995829207339338,7.934519167251409,0.31803032011284443,0.20611826755092527,context-rich,Pallet_1,parking_lot,outdoor-night,True
5,f0005,33.16448800242677,8.109577838725677,7.59852712018805,7.5985271211077015,8.109577887391787,0.24993466950394175,0.1218712622979483,controlled-occlusion,Pallet_2,industrial,outdoor-night,True
6,f0006,70.41057455148761,24.144232800705367,2.117062882489199,2.1170628820130193,24.14423277195517,0.28221582483764424,0.1814476835548124,clean-static,Pallet_1,parking_lot,indoor,False
7,f0007,119.35686448927329,11.034730622530246,9.447813657364902,9.447813619300728,11.03473067330023,0.12362397799628297,0.08237384167859678,cargo-only,Pallet_0,parking_lot,outdoor-day,True
8,f0008,73.56313147085177,24.960825105325156,1.5349245289986868,1.5349245284091617,24.96082505804912,0.908897112348789,0.7673973897000403,context-rich,Pallet_3,parking_lot,outdoor-day,False
9,f0009,63.48173971685698,33.693815137506284,8.419268521169469,8.419268509170983,33.69381517481008,0.11885103543440803,0.09230139352575222,controlled-occlusion,Pallet_0,parking_lot,outdoor-day,False
10,f0010,226.92331870288768,14.835847662790735,2.4639584509494563,2.4639584287734766,14.835847771377642,0.3542305295373325,0.2294381168085978,clean-static,Pallet_3,industrial,outdoor-night,False
11,f0011,165.5250514524012,10.356715396545113,9.316593937254588,9.316593937045301,10.356715389502373,0.09194336195434279,0.06663211758524958,cargo-only,Pallet_1,parking_lot,outdoor-day,True
12,f0012,327.9605557468134,50.374200504475695,8.183333933300267,8.183333930110877,50.37420059278898,0.18241295771485405,0.127258866157173,context-rich,Pallet_2,parking_lot,indoor,False
13,f0013,330.51567483594766,15.176230299457579,2.502034571651826,2.5020345712861114,15.176230268582762,0.3300496712023322,0.2306696088900016,controlled-occlusion,Pallet_3,industrial,outdoor-day,False
14,f0014,146.2404285674345,12.116220537259357,2.585551524948301,2.5855515124621036,12.116220551804185,0.6239140448853722,0.4603170643231785,context-rich,Pallet_0,parking_lot,random-mix,True
15,f0015,4.1200757382558555,15.858887634998455,9.065716528100806,9.06571649108134,15.85888771905549,0.10040087118466641,0.07713852345640494,controlled-occlusion,Pallet_0,parking_lot,outdoor-night,False
16,f0016,136.95969226938436,37.60722162013321,1.7314363283983099,1.7314363298191473,37.60722168117089,0.5659417362719559,0.4816398062099937,clean-static,Pallet_3,parking_lot,random-mix,False
17,f0017,103.8842976405347,10.944532133435267,7.68991944587865,7.689919414614986,10.944532169645365,0.12260261690894025,0.09212377863751822,cargo-only,Pallet_0,parking_lot,outdoor-night,True
18,f0018,358.6504747199834,67.34946480491936,1.5042437479497899,1.504243937120102,67.3494481367688,0.9497578088124007,0.7266758013112762,context-rich,Pallet_1,industrial,indoor,True
19,f0019,255.3665827713173,42.82670469792136,7.938271487118262,7.938271228630689,42.82670641342477,0.11101490342195662,0.08694598894332088,controlled-occlusion,Pallet_1,industrial,outdoor-night,False
20,f0020,319.3744463426316,26.82605818341791,1.9300889097331742,1.930089070583641,26.826055722226037,0.6825745542141453,0.49382358438122864,clean-static,Pallet_2,industrial,random-mix,False
21,f0021,58.3434920657911,77.54056256549963,9.561196021371961,9.561195922230594,77.5405652155525,0.12912558050344725,0.1089196149684154,cargo-only,Pallet_3,industrial,outdoor-day,True
22,f0022,191.5451851953194,25.907532432446498,9.65286764044549,9.652868060275601,25.907531215868655,0.18585906965178883,0.10788521719928418,context-rich,Pallet_2,industrial,indoor,False
23,f0023,301.5574914874583,4.766668205112646,3.2047253490156002,3.2047249991304234,4.766668734288238,0.31077164527970563,0.2200482465552984,controlled-occlusion,Pallet_3,industrial,outdoor-day,True
24,f0024,341.15791848384345,20.60355036758982,5.46812352376702,5.4681235107295425,20.603550387671174,0.12441852365668543,0.08446286751002952,context-rich,Pallet_0,parking_lot,outdoor-night,False
25,f0025,52.18523193756264,21.995609313678123,2.031376443648827,2.0313764434319626,21.995609047009893,0.46257985759536463,0.3270383248937029,controlled-occlusion,Pallet_2,parking_lot,indoor,True
26,f0026,5.678090749910931,66.301702934524,3.422520518138136,3.4225205166457564,66.30170292355783,0.18943440926603947,0.1983976142780066,clean-static,Pallet_1,parking_lot,indoor,False
27,f0027,132.27745256115648,76.99023523719501,5.849573363848346,5.849573442137628,76.99023186760553,0.11718872545952444,0.09054645577625485,cargo-only,Pallet_3,industrial,outdoor-day,True
28,f0028,278.4316471478531,20.616452771808955,7.867403315062683,7.867403412373384,20.61645252150524,0.13739859486509154,0.13236918884543084,context-rich,Pallet_0,industrial,outdoor-night,False
