proposal_index,usable_slot,solver_fail,f_target,elevation_deg,projected_size,camera_distance_m,side_target,candidates_before_prefilter,candidates_after_prefilter,prefilter_reject_count,realization_attempt_count,lowres_render_count,reject_counts,stage_context_s,stage_explicit_s,runtime_s
3,3,bounded_local_search_exhausted,0.20730570984469082,52.90708284128163,0.5505824081795355,1.2609699370506304,right,290,267,23,19,72,"{""camera_clearance"": 7, ""candidate_budget_exhausted"": 10, ""collision"": 6, ""score_callback"": 14, ""support"": 9}",73.07156,49.870431,130.52551126480103
4,3,bounded_local_search_exhausted,0.42654963055699835,4.38273518067479,0.2575001502880079,2.3163719422255102,right,255,193,62,21,133,"{""candidate_budget_exhausted"": 12, ""score_callback"": 34, ""support"": 2}",37.016078,35.411834,74.4275176525116
7,3,bounded_local_search_exhausted,0.2629645435228422,60.28642245884304,0.9008782028473707,1.1559851193907036,bottom,325,1,324,5,35,"{""candidate_budget_exhausted"": 2, ""collision"": 6, ""score_callback"": 3, ""support"": 3}",20.705099,9.233334,40.633838415145874
29,15,bounded_local_search_exhausted,0.42607351843249974,22.618060782944863,0.3995691078192138,2.6382608352813337,right,217,161,56,19,56,"{""camera_clearance"": 19, ""candidate_budget_exhausted"": 11, ""score_callback"": 16, ""support"": 1}",16.047018,25.084327,43.14216208457947
30,15,bounded_local_search_exhausted,0.21813793003112078,4.427951783379555,0.7993471181563221,1.1580582016060776,left,534,433,101,17,68,"{""camera_clearance"": 6, ""candidate_budget_exhausted"": 8, ""score_callback"": 15, ""support"": 15}",20.572548,29.059582,56.53138089179993
32,15,bounded_local_search_exhausted,0.17802966484806917,53.23170958929934,0.3331675541161875,1.9850498297175045,right,296,204,92,20,41,"{""candidate_budget_exhausted"": 11, ""collision"": 1, ""score_callback"": 10, ""support"": 25}",22.36654,26.176577,49.7745840549469
34,15,bounded_local_search_exhausted,0.2343686197213216,20.05358022549826,0.4823709757869806,2.172961447355471,bottom,112,57,55,20,76,"{""camera_clearance"": 10, ""candidate_budget_exhausted"": 11, ""score_callback"": 26}",25.72855,36.5374,69.23617172241211
54,23,bounded_local_search_exhausted,0.29172857383466516,74.79273345743304,0.5190747706870723,1.7833470983107558,bottom,145,128,17,15,38,"{""candidate_budget_exhausted"": 6, ""collision"": 4, ""score_callback"": 6, ""support"": 26}",21.028372,16.563303,45.981489419937134
55,23,bounded_local_search_exhausted,0.13080422137872902,6.826041722591379,0.7695802147735195,1.1747225526819662,bottom,140,4,136,19,47,"{""camera_clearance"": 20, ""candidate_budget_exhausted"": 11, ""score_callback"": 14, ""support"": 2}",31.392485,36.297151,68.83458995819092
58,23,bounded_local_search_exhausted,0.14775433727293127,17.402284079926485,0.2782466542773299,3.1458783342966057,bottom,150,38,112,21,103,"{""candidate_budget_exhausted"": 12, ""score_callback"": 36}",9.498187,38.809261,50.215322494506836
62,25,bounded_local_search_exhausted,0.3765922942059385,7.686600856575149,0.2784652824470185,1.6440798969790578,right,243,198,45,21,31,"{""candidate_budget_exhausted"": 13, ""collision"": 8, ""score_callback"": 8, ""support"": 20}",38.603657,21.476127,63.97418832778931
69,29,bounded_local_search_exhausted,0.19727292210701583,9.649987264338122,0.3282420514463391,3.1726641735458694,right,181,123,58,21,95,"{""camera_clearance"": 1, ""candidate_budget_exhausted"": 12, ""score_callback"": 34, ""support"": 1}",12.501767,51.28225,65.00836300849915
79,35,bounded_local_search_exhausted,0.1658813642859568,65.60052332068551,0.5624476235036654,0.7475212815816372,bottom,75,74,1,16,49,"{""candidate_budget_exhausted"": 7, ""collision"": 2, ""score_callback"": 8, ""support"": 26}",38.361478,18.11909,66.66828656196594
80,35,bounded_local_search_exhausted,0.4392823720272658,2.1053113674106356,0.09434438575511322,9.96332767532945,right,201,137,64,20,73,"{""candidate_budget_exhausted"": 12, ""score_callback"": 19, ""support"": 17}",19.835379,31.205169,52.3843457698822
91,39,bounded_local_search_exhausted,0.14280944862934175,12.899869454444794,0.09935461304438288,9.946925993944028,bottom,179,82,97,20,77,"{""candidate_budget_exhausted"": 11, ""score_callback"": 28, ""support"": 8}",8.346577,30.254879,40.85218667984009
98,43,bounded_local_search_exhausted,0.24634478013907238,1.5348919886208212,0.1613355722507961,6.454880237175106,left,246,186,60,21,109,"{""candidate_budget_exhausted"": 12, ""score_callback"": 36}",37.271742,87.600684,132.66266751289368
100,43,bounded_local_search_exhausted,0.4010295429731762,15.716883134243286,0.09591812620867338,7.088904979143278,right,206,162,44,20,99,"{""camera_clearance"": 1, ""candidate_budget_exhausted"": 12, ""collision"": 2, ""score_callback"": 28, ""support"": 5}",16.410545,53.26272,78.04946494102478
102,43,bounded_local_search_exhausted,0.1852509059040689,59.62077705163087,0.7975812203283549,1.4922285678352316,left,197,97,100,20,64,"{""candidate_budget_exhausted"": 11, ""collision"": 10, ""score_callback"": 14, ""support"": 12}",12.482393,40.02274,68.78973269462585
