usable_id,diagnostic_mode,overlay_rel,cargo_visible_pixels,context_visible_pixel_ratio,explicit_occluder_visible_pixels,f_explicit_target,f_explicit_actual,abs_target_error,runtime_s
0,clean-static,all/f0000_overlay.png,0,0.0,0,0.0,,,6.467190265655518
1,cargo-only,all/f0001_overlay.png,64,0.0,0,0.0,,,11.336408376693726
2,context-rich,all/f0002_overlay.png,1676,1.0,0,0.0,,,22.140578508377075
3,controlled-occlusion,all/f0003_overlay.png,0,1.0,228,0.19537258492039322,,,41.190797328948975
4,context-rich,all/f0004_overlay.png,223,1.0,0,0.0,,,27.240599870681763
5,controlled-occlusion,all/f0005_overlay.png,84,1.0,12513,0.27312834436863037,,,53.542211055755615
6,clean-static,all/f0006_overlay.png,0,0.0,0,0.0,,,4.96879506111145
7,cargo-only,all/f0007_overlay.png,832,0.0,0,0.0,,,11.755192279815674
8,context-rich,all/f0008_overlay.png,0,0.6666666666666666,0,0.0,,,24.853123903274536
9,controlled-occlusion,all/f0009_overlay.png,0,1.0,193,0.14684539908486832,,,29.19108295440674
10,clean-static,all/f0010_overlay.png,0,0.0,0,0.0,,,6.3428955078125
11,cargo-only,all/f0011_overlay.png,1906,0.0,0,0.0,,,9.256129026412964
12,context-rich,all/f0012_overlay.png,0,1.0,0,0.0,,,29.46118950843811
13,controlled-occlusion,all/f0013_overlay.png,0,1.0,455,0.39950323821430234,,,32.514846324920654
14,context-rich,all/f0014_overlay.png,58,1.0,0,0.0,,,28.036475896835327
15,controlled-occlusion,all/f0015_overlay.png,0,0.6666666666666666,11123,0.4082084078182895,,,44.293997049331665
16,clean-static,all/f0016_overlay.png,0,0.0,0,0.0,,,5.017291307449341
17,cargo-only,all/f0017_overlay.png,723,0.0,0,0.0,,,11.130766153335571
18,context-rich,all/f0018_overlay.png,0,1.0,0,0.0,,,17.99057173728943
19,controlled-occlusion,all/f0019_overlay.png,0,0.0,5284,0.2577233925098761,,,76.24449396133423
20,clean-static,all/f0020_overlay.png,0,0.0,0,0.0,,,5.377952337265015
21,cargo-only,all/f0021_overlay.png,56,0.0,0,0.0,,,10.249364137649536
22,context-rich,all/f0022_overlay.png,2590,1.0,0,0.0,,,26.32210659980774
23,controlled-occlusion,all/f0023_overlay.png,20,0.6666666666666666,323,0.23646578345592215,,,46.748077630996704
24,context-rich,all/f0024_overlay.png,0,1.0,0,0.0,,,15.372133016586304
25,controlled-occlusion,all/f0025_overlay.png,47,1.0,187,0.12697100401716757,,,82.286048412323
26,clean-static,all/f0026_overlay.png,0,0.0,0,0.0,,,5.041877031326294
27,cargo-only,all/f0027_overlay.png,75,0.0,0,0.0,,,11.035536527633667
28,context-rich,all/f0028_overlay.png,1366,1.0,0,0.0,,,29.588533878326416
