proposal_index,usable_slot,old_outcome,new_outcome,replayed,old_runtime_s,new_runtime_s,old_stage_context_s,new_stage_context_s,old_stage_explicit_s,new_stage_explicit_s,new_stage_explicit_prep_s,old_explicit_visible_pixels,new_explicit_visible_pixels,old_side_match,new_side_match,new_metrics_available,new_f_explicit_target,new_f_explicit_actual_lowres,new_explicit_abs_error_lowres,old_realization_attempt_count,new_realization_attempt_count,new_coarse_eval_count,new_fine_eval_count,new_search_winning_stage,new_solver_fail_reason,old_solver_fail_reason,new_context_skipped,new_reject_counts
3,3,expensive_reject,rejected,True,130.52551126480103,72.2130057811737,73.07156,0.001597,49.870431,63.998018,0.114915,0,0,,,False,0.20730570984469082,,,19,19,44,0,,bounded_local_search_exhausted,bounded_local_search_exhausted,True,"{""camera_clearance"": 7, ""candidate_budget_exhausted"": 9, ""collision"": 6, ""score_callback"": 21, ""support"": 10}"
4,3,expensive_reject,rejected,True,74.4275176525116,57.258301973342896,37.016078,0.001622,35.411834,55.122338,0.196436,0,0,,,False,0.42654963055699835,,,21,21,60,0,,bounded_local_search_exhausted,bounded_local_search_exhausted,True,"{""candidate_budget_exhausted"": 9, ""score_callback"": 58, ""support"": 2}"
7,3,expensive_reject,rejected,True,40.633838415145874,18.904264450073242,20.705099,0.001212,9.233334,8.669534,0.015911,0,0,,,False,0.2629645435228422,,,5,5,12,0,,bounded_local_search_exhausted,bounded_local_search_exhausted,True,"{""candidate_budget_exhausted"": 2, ""collision"": 6, ""score_callback"": 3, ""support"": 3}"
8,3,accepted,accepted,True,41.190797328948975,39.983359575271606,13.441722,12.693093,19.844992,19.163548,0.147977,228,228,True,True,True,0.19537258492039322,0.15789473684210525,0.03747784807828797,2,2,9,0,target-seed,,,False,"{""score_callback"": 3}"
11,5,accepted,accepted,True,53.542211055755615,58.54264163970947,17.686679,27.250652,23.865339,19.503198,0.201939,12513,12513,True,True,True,0.27312834436863037,0.15918367346938775,0.11394467089924262,9,4,18,0,target-seed,,,False,"{""score_callback"": 16}"
18,9,accepted,accepted,True,29.19108295440674,28.76292109489441,7.95999,6.924301,14.779701,14.730876,0.176502,193,193,True,True,True,0.14684539908486832,0.040268456375838924,0.1065769427090294,8,8,21,0,preprobe,,,False,"{""candidate_budget_exhausted"": 4, ""score_callback"": 9, ""support"": 11}"
26,13,accepted,accepted,True,32.514846324920654,31.42587900161743,6.783348,6.607257,19.862133,18.736515,0.183702,455,455,True,True,True,0.39950323821430234,0.3076923076923077,0.09181093052199463,4,4,18,0,target-seed,,,False,"{""score_callback"": 14}"
29,15,expensive_reject,rejected,True,43.14216208457947,34.6096932888031,16.047018,0.001803,25.084327,32.681931,0.180976,0,0,,,False,0.42607351843249974,,,19,19,44,0,,bounded_local_search_exhausted,bounded_local_search_exhausted,True,"{""camera_clearance"": 19, ""candidate_budget_exhausted"": 9, ""score_callback"": 24, ""support"": 1}"
30,15,expensive_reject,rejected,True,56.53138089179993,64.22495460510254,20.572548,0.001328,29.059582,57.004089,0.099112,0,0,,,False,0.21813793003112078,,,17,17,52,0,,bounded_local_search_exhausted,bounded_local_search_exhausted,True,"{""camera_clearance"": 6, ""candidate_budget_exhausted"": 6, ""score_callback"": 31, ""support"": 15}"
32,15,expensive_reject,rejected,True,49.7745840549469,68.85879421234131,22.36654,0.001493,26.176577,67.539133,0.124557,0,0,,,False,0.17802966484806917,,,20,21,60,0,,bounded_local_search_exhausted,bounded_local_search_exhausted,True,"{""candidate_budget_exhausted"": 9, ""collision"": 1, ""score_callback"": 31, ""support"": 28}"
