selection,quantile,usable_id,diagnostic_mode,metric,value,rule
cargo_visible_pixels,min,61,cargo-only,cargo_visible_pixels,16,sort by cargo_visible_pixels asc; take min
cargo_visible_pixels,median,37,cargo-only,cargo_visible_pixels,237,sort by cargo_visible_pixels asc; take median
cargo_visible_pixels,max,11,cargo-only,cargo_visible_pixels,1906,sort by cargo_visible_pixels asc; take max
context_visible_ratio,min,8,context-rich,context_visible_pixel_ratio,0.6666666666666666,sort by context_visible_pixel_ratio asc; take min
context_visible_ratio,median,52,context-rich,context_visible_pixel_ratio,1.0,sort by context_visible_pixel_ratio asc; take median
context_visible_ratio,max,98,context-rich,context_visible_pixel_ratio,1.0,sort by context_visible_pixel_ratio asc; take max
controlled_f_target_error,min,73,controlled-occlusion,abs_target_error,0.001571651211764613,sort by abs_target_error asc; take min
controlled_f_target_error,median,83,controlled-occlusion,abs_target_error,0.043422703671683854,sort by abs_target_error asc; take median
controlled_f_target_error,max,89,controlled-occlusion,abs_target_error,0.11604323164489044,sort by abs_target_error asc; take max
controlled_runtime,min,83,controlled-occlusion,runtime_s,23.436354637145996,sort by runtime_s asc; take min
controlled_runtime,median,89,controlled-occlusion,runtime_s,47.08680844306946,sort by runtime_s asc; take median
controlled_runtime,max,79,controlled-occlusion,runtime_s,165.1424958705902,sort by runtime_s asc; take max
