candidates_after_prefilter,candidates_before_prefilter,diagnostic_mode,lowres_render_count,prefilter_reject_count,proposal_prepare_s,realization_attempt_count,runtime_s,stage_anchor,stage_background,stage_cargo,stage_collision_audit,stage_context,stage_explicit,stage_explicit_prep,usable_id
,,clean-static,0,,,0,7.094091415405273,0.143348,1.416186,0.010264,0.089016,0.000867,2.7e-05,1.2e-05,0
,,cargo-only,8,,,0,11.370739698410034,0.049405,0.014483,5.224973,0.047902,0.000519,3.7e-05,1.7e-05,1
,,context-rich,17,,,0,21.989343881607056,0.21964,0.04423,4.541204,0.346838,11.3639,4.2e-05,2.3e-05,2
133,229,controlled-occlusion,38,96,1.816761,2,41.9253044128418,1.701704,0.017957,0.020268,0.295761,13.364959,20.713886,0.160789,3
,,context-rich,37,,,0,26.808188915252686,0.210149,0.044506,3.958008,0.384728,16.52713,3.5e-05,1.5e-05,4
107,209,controlled-occlusion,115,102,1.817827,4,60.205660581588745,0.107758,0.021597,5.249463,0.388146,27.620471,20.486501,0.171467,5
,,clean-static,0,,,0,4.953212022781372,0.13393,0.018247,0.010755,0.089694,0.000719,2.7e-05,9e-06,6
,,cargo-only,8,,,0,11.264337539672852,0.054129,0.016019,5.405642,0.064836,0.001038,3.4e-05,1.7e-05,7
,,context-rich,19,,,0,24.678026914596558,0.052088,0.017729,0.007777,0.106706,17.373994,3.3e-05,1e-05,8
55,195,controlled-occlusion,43,140,1.814187,8,28.363297939300537,0.221724,0.045337,0.021408,0.253199,6.998007,14.948344,0.177853,9
,,clean-static,0,,,0,6.380374193191528,0.136043,0.75639,0.011278,0.0879,0.001542,2.8e-05,1.2e-05,10
,,cargo-only,8,,,0,9.56724500656128,0.148744,0.017439,4.228049,0.225432,0.000781,3.5e-05,1.9e-05,11
,,context-rich,30,,,0,29.597841262817383,0.168061,0.024723,10.789194,0.508292,12.342769,3.6e-05,9e-06,12
185,242,controlled-occlusion,59,57,1.848789,4,33.4101448059082,0.128313,0.019344,0.01834,0.404307,6.867232,20.160625,0.191828,13
,,context-rich,25,,,0,27.837214946746826,1.837078,0.018052,5.9325,0.42183,12.259054,3.5e-05,1.6e-05,14
292,365,controlled-occlusion,43,73,2.148099,2,47.183006286621094,0.064214,0.016309,0.017203,0.093693,16.137572,24.282486,0.133745,15
