proposal_index,usable_slot,old_outcome,g1p5_outcome,g1p6_outcome,g1p5_runtime_s,g1p6_runtime_s,g1p5_sc_rej,g1p6_sc_rej,g1p5_budget_ex,g1p6_budget_ex,winning_stage,fine_triggered,fine_eval_count,fine_won,fine_margin_before,fine_margin_after,target_seed_free_used,target_seed_paid_used,explicit_abs_error_lowres,side_match,n_context_visible
3,3,expensive_reject,rejected,rejected,72.2130057811737,72.35855484008789,21,21,9,9,,False,0,False,,,8,0,,,0
4,3,expensive_reject,rejected,rejected,57.258301973342896,56.78598952293396,58,58,9,9,,False,0,False,,,24,0,,,0
7,3,expensive_reject,rejected,rejected,18.904264450073242,18.6163067817688,3,3,2,2,,False,0,False,,,0,0,,,0
8,3,accepted,accepted,accepted,39.983359575271606,39.45412302017212,3,3,0,0,target-seed,False,0,False,,,8,0,0.03747784807828797,True,2
11,5,accepted,accepted,accepted,58.54264163970947,58.35173225402832,16,16,0,0,target-seed,False,0,False,,,16,0,0.11394467089924262,True,3
18,9,accepted,accepted,accepted,28.76292109489441,33.983744382858276,9,12,4,4,fine,True,6,True,-0.01342258029292201,0.020134466686943756,8,0,0.09986553331305624,True,3
26,13,accepted,accepted,accepted,31.42587900161743,31.033519506454468,14,14,0,0,target-seed,False,0,False,,,16,0,0.09181093052199463,True,3
29,15,expensive_reject,rejected,accepted,34.6096932888031,57.07748222351074,24,25,9,6,fine,True,6,True,-0.056377531403719844,0.09806105797609371,8,0,0.021938942023906283,True,3
30,15,expensive_reject,rejected,rejected,64.22495460510254,62.116459131240845,31,31,6,6,,False,0,False,,,16,0,,,0
32,15,expensive_reject,rejected,rejected,68.85879421234131,67.13260412216187,31,31,9,9,,False,0,False,,,24,0,,,0
34,15,expensive_reject,rejected,rejected,66.82604813575745,71.74582624435425,41,47,9,9,,True,6,False,-0.04561861972132161,0.03086947551677363,16,0,,,0
38,15,accepted,accepted,accepted,46.969865798950195,45.98642110824585,8,8,0,0,target-seed,False,0,False,,,8,0,0.028104150650609228,True,2
