source,case_id,case_outcome,old_outcome,target_seed_candidate_count,target_seed_unique_candidate_count,target_seed_duplicate_count,budgeted_evals_excluding_target_seed,candidate_budget_exhausted,winning_stage
locked_replay,locked_replay:3,rejected,expensive_reject,8,8,0,36,9,
locked_replay,locked_replay:4,rejected,expensive_reject,24,24,0,36,9,
locked_replay,locked_replay:7,rejected,expensive_reject,0,0,0,12,2,
locked_replay,locked_replay:8,accepted,accepted,8,8,0,1,0,target-seed
locked_replay,locked_replay:11,accepted,accepted,16,16,0,2,0,target-seed
locked_replay,locked_replay:18,accepted,accepted,8,8,0,13,4,preprobe
locked_replay,locked_replay:26,accepted,accepted,16,16,0,2,0,target-seed
locked_replay,locked_replay:29,rejected,expensive_reject,8,8,0,36,9,
locked_replay,locked_replay:30,rejected,expensive_reject,16,16,0,36,6,
locked_replay,locked_replay:32,rejected,expensive_reject,24,24,0,36,9,
locked_replay,locked_replay:34,rejected,expensive_reject,16,16,0,36,9,
locked_replay,locked_replay:38,accepted,accepted,8,8,0,1,0,target-seed
locked_replay,locked_replay:46,accepted,accepted,16,16,0,13,3,target-seed
locked_replay,locked_replay:54,rejected,expensive_reject,0,0,0,36,6,
locked_replay,locked_replay:55,rejected,expensive_reject,8,8,0,36,10,
locked_replay,locked_replay:58,rejected,expensive_reject,24,24,0,36,9,
locked_replay,locked_replay:59,accepted,accepted,8,8,0,13,3,target-seed
locked_replay,locked_replay:62,rejected,expensive_reject,24,24,0,36,10,
locked_replay,locked_replay:65,accepted,accepted,8,8,0,1,0,target-seed
locked_replay,locked_replay:69,rejected,expensive_reject,24,24,0,36,11,
locked_replay,locked_replay:70,accepted,accepted,8,8,0,13,3,target-seed
locked_replay,locked_replay:76,accepted,accepted,8,8,0,1,0,target-seed
locked_replay,locked_replay:79,rejected,expensive_reject,0,0,0,36,7,
locked_replay,locked_replay:80,rejected,expensive_reject,24,24,0,36,9,
locked_replay,locked_replay:82,accepted,accepted,16,16,0,2,0,target-seed
locked_replay,locked_replay:91,rejected,expensive_reject,24,24,0,36,9,
locked_replay,locked_replay:93,accepted,accepted,8,8,0,24,3,primary
locked_replay,locked_replay:98,rejected,expensive_reject,24,24,0,36,9,
locked_replay,locked_replay:100,rejected,expensive_reject,23,23,0,36,10,
locked_replay,locked_replay:102,rejected,expensive_reject,16,16,0,36,9,
locked_replay,locked_replay:104,accepted,accepted,8,8,0,1,0,target-seed
locked_replay,locked_replay:109,rejected,expensive_reject,16,16,0,36,9,
locked_replay,locked_replay:112,rejected,expensive_reject,16,16,0,36,9,
