case_id,usable_slot,old_outcome,outcome,primary_binding_signature,case_class,budget_exhausted_with_near_feasible,min_violation_count,all_actionable_signatures,near_feasible_4of5,near_feasible_3of5,raw_candidates,unique_candidates,duplicate_candidates,stage_crossing_duplicates,hard_only_candidates,candidate_budget_exhausted,case_wall_time_s,stage_runtime_total_s,stage_explicit_s,lowres_render_count,winning_stage,projected_size,f_target,side
3,3,expensive_reject,rejected,TWO_MISS_SIDE_TARGET,BUDGET_EXHAUSTED_WITH_ACTIONABLE_CANDIDATE,True,2,TWO_MISS_SIDE_TARGET,0,1,44,41,3,3,21,9,72.625,72.35855484008789,64.271607,52,,0.5505824081795355,0.20730570984469082,right
4,3,expensive_reject,rejected,ONE_MISS_G1,BUDGET_EXHAUSTED_WITH_ACTIONABLE_CANDIDATE,True,1,ONE_MISS_G1|TWO_MISS_G1_TARGET,1,13,60,57,3,3,2,9,59.089,56.78598952293396,54.666058,122,,0.2575001502880079,0.42654963055699835,right
7,3,expensive_reject,rejected,MULTI_CONSTRAINT,NO_FEASIBLE_CANDIDATE_FOUND,False,4,,0,0,12,11,1,1,8,2,20.798,18.6163067817688,8.617761,30,,0.9008782028473707,0.2629645435228422,bottom
8,3,accepted,accepted,ACCEPTED,ACCEPTED,False,0,,1,1,9,9,0,0,0,0,41.389,39.45412302017212,18.67726,38,target-seed,0.08450913319032577,0.19537258492039322,left
11,5,accepted,accepted,ACCEPTED,ACCEPTED,False,0,,3,9,18,18,0,0,0,0,60.101,58.35173225402832,19.735551,115,target-seed,0.12662179445888,0.27312834436863037,right
18,9,accepted,accepted,ACCEPTED,ACCEPTED,False,0,,3,2,27,27,0,0,12,4,35.776,33.983744382858276,19.913155,53,fine,0.1358814663770036,0.14684539908486832,bottom
26,13,accepted,accepted,ACCEPTED,ACCEPTED,False,0,,11,1,18,18,0,0,0,0,32.855,31.033519506454468,18.508038,59,target-seed,0.09439136881623088,0.39950323821430234,left
29,15,expensive_reject,accepted,ACCEPTED,ACCEPTED,False,0,,13,1,38,36,2,2,9,6,57.551,57.07748222351074,31.978214,106,fine,0.3995691078192138,0.42607351843249974,right
30,15,expensive_reject,rejected,MULTI_CONSTRAINT,NO_FEASIBLE_CANDIDATE_FOUND,False,3,,0,0,52,49,3,3,20,6,64.309,62.116459131240845,55.084486,107,,0.7993471181563221,0.21813793003112078,left
32,15,expensive_reject,rejected,MULTI_CONSTRAINT,NO_FEASIBLE_CANDIDATE_FOUND,False,3,,0,0,60,55,5,5,27,9,68.941,67.13260412216187,65.882192,71,,0.3331675541161875,0.17802966484806917,right
