case_id,baseline_wall_s,primary_binding_signature,all_actionable_signatures,target_side,achieved_sides,target_side_ever_achieved,best_pass_count,best_constraint_vector,failure_reason,projected_size,f_target,unique_candidates,budget_exhausted,A_wall_s,A_rescue_triggered,A_rescue_evals,A_rescue_won,A_accepted,B_wall_s,B_rescue_triggered,B_rescue_evals,B_rescue_won,B_accepted
7,20.798,MULTI_CONSTRAINT,,bottom,{},False,1,"{""side"": false, ""vis"": -8, ""target"": -0.1429645435228422, ""G1"": 0, ""G2"": -1}",bounded_local_search_exhausted,0.9008782028473707,0.2629645435228422,11,2,,,,,,,,,,
30,64.309,MULTI_CONSTRAINT,,left,{},False,2,"{""side"": false, ""vis"": -8, ""target"": -0.09813793003112078, ""G1"": 1, ""G2"": 0}",bounded_local_search_exhausted,0.7993471181563221,0.21813793003112078,49,6,,,,,,,,,,
32,68.941,MULTI_CONSTRAINT,,right,{},False,2,"{""side"": false, ""vis"": 4317, ""target"": -0.05802966484806918, ""G1"": 2, ""G2"": -1}",bounded_local_search_exhausted,0.3331675541161875,0.17802966484806917,55,9,,,,,,,,,,
54,25.516,MULTI_CONSTRAINT,,bottom,{},False,2,"{""side"": false, ""vis"": 31, ""target"": -0.17172857383466517, ""G1"": 4, ""G2"": -1}",bounded_local_search_exhausted,0.5190747706870723,0.29172857383466516,33,6,,,,,,,,,,
79,32.888,MULTI_CONSTRAINT,,bottom,{},False,2,"{""side"": false, ""vis"": 432, ""target"": -0.045881364285956794, ""G1"": 1, ""G2"": -1}",bounded_local_search_exhausted,0.5624476235036654,0.1658813642859568,33,7,33.318,True,2,False,False,32.939,True,2,False,False
102,47.097,MULTI_CONSTRAINT,,left,{},False,2,"{""side"": false, ""vis"": 495, ""target"": -0.0652509059040689, ""G1"": 1, ""G2"": -1}",bounded_local_search_exhausted,0.7975812203283549,0.1852509059040689,49,9,,,,,,,,,,
120,28.766,MULTI_CONSTRAINT,,bottom,{},False,1,"{""side"": false, ""vis"": -8, ""target"": -0.054973353207512565, ""G1"": 0, ""G2"": -1}",bounded_local_search_exhausted,0.09673836897228094,0.17497335320751256,49,6,,,,,,,,,,
143,53.237,MULTI_CONSTRAINT,,left,"{""center"": 2}",False,2,"{""side"": false, ""vis"": 3484, ""target"": -0.5437701505643568, ""G1"": -2, ""G2"": 0}",bounded_local_search_exhausted,0.16103721540703184,0.165924172579748,49,9,,,,,,,,,,
180,18.743,MULTI_CONSTRAINT,,left,{},False,1,"{""side"": false, ""vis"": -8, ""target"": -0.08059055421810052, ""G1"": 0, ""G2"": -1}",bounded_local_search_exhausted,0.8427326106036971,0.20059055421810051,33,7,,,,,,,,,,
217,34.382,MULTI_CONSTRAINT,,left,"{""bottom"": 1}",False,2,"{""side"": false, ""vis"": 62, ""target"": -0.09982002935510148, ""G1"": 0, ""G2"": -1}",bounded_local_search_exhausted,0.9522842770836762,0.22549744870994018,41,7,,,,,,,,,,
226,26.897,MULTI_CONSTRAINT,,right,{},False,1,"{""side"": false, ""vis"": -8, ""target"": -0.10514819258691688, ""G1"": 0, ""G2"": -1}",bounded_local_search_exhausted,0.9330207963872553,0.22514819258691687,33,5,,,,,,,,,,
