usable_id,frame_id,azimuth_deg,elevation_deg,camera_distance_m,camera_distance_record_m,elev_actual_record_deg,projected_size_actual,projected_size_target,diagnostic_mode,pallet_type,background_asset,scene_preset,cargo_on
0,f0000,163.44933303355077,21.74202416365031,4.921408755277055,4.921408755104561,21.742024158614676,0.3217768040872956,0.21160644015181324,clean-static,Pallet_2,industrial,outdoor-night,False
1,f0001,31.25790550822848,7.267662595935908,4.667880470518282,4.667880455207549,7.267662619902648,0.25766425363741335,0.15831851500876726,cargo-only,Pallet_2,parking_lot,outdoor-day,True
2,f0002,136.35639133565982,21.072145824942943,1.7924298531784197,1.7924298526761437,21.072145783273925,0.6554408684512268,0.446743075968473,context-rich,Pallet_3,parking_lot,outdoor-night,False
3,f0003,232.7393999379196,66.22549583678712,3.12293341153962,3.122933348659677,66.22549822249105,0.4254937210700012,0.33346910445476097,controlled-occlusion,Pallet_1,industrial,random-mix,False
4,f0004,316.52810384630646,17.36170612097019,9.506836935892407,9.506836896335948,17.36170618668366,0.18171889249292264,0.09615290250559946,context-rich,Pallet_3,industrial,outdoor-night,False
5,f0005,128.0250441939385,9.154448671489684,8.226412203751392,8.226412720551247,9.15444813415087,0.2110606562530549,0.12761734123442997,controlled-occlusion,Pallet_1,industrial,indoor,False
6,f0006,57.81236616388432,14.507432353034222,2.446592532901919,2.446592216238474,14.50743442962131,0.8087801556025102,0.486461653681665,clean-static,Pallet_2,industrial,random-mix,False
7,f0007,107.04617085264806,42.91437004374862,1.2312000101520608,1.231200009517919,42.914370012007225,0.7703253401171983,0.6979718120930122,cargo-only,Pallet_3,parking_lot,outdoor-day,True
8,f0008,156.90763606442232,46.52613112830116,5.891408002414519,5.891408001400744,46.5261311189536,0.2256724998579834,0.11784413247503642,context-rich,Pallet_1,parking_lot,indoor,True
9,f0009,261.6647906087271,60.90165822873437,2.0747817648361213,2.074781759784524,60.9016586116001,0.6409485029086426,0.501933174531058,controlled-occlusion,Pallet_0,parking_lot,outdoor-day,False
10,f0010,306.78760692382474,10.303748831986889,8.702639342044263,8.702639368743196,10.303748834307061,0.13467408068872616,0.1019672099618212,clean-static,Pallet_2,parking_lot,random-mix,False
11,f0011,242.75554392413056,8.451167868545049,3.4232032447275023,3.4232031376572003,8.451168237247117,0.3093714988882944,0.21178209187518282,cargo-only,Pallet_2,industrial,outdoor-night,True
12,f0012,290.4658067151845,56.89198182773051,8.756555298339002,8.756555281641893,56.891982006428314,0.11071390296582664,0.08121377537791771,context-rich,Pallet_0,parking_lot,indoor,True
13,f0013,50.59222183773627,35.175339849415174,7.9092790662394705,7.909279009103272,35.17534013080663,0.06357547168579955,0.04471405658514573,controlled-occlusion,Pallet_3,industrial,random-mix,True
14,f0014,184.9744448833648,74.83619556022391,5.378483528374805,5.378483528942736,74.83619563272019,0.2862852131500292,0.19362368424196358,context-rich,Pallet_0,parking_lot,outdoor-night,True
15,f0015,167.8419978007471,20.394672402690446,8.778430449086745,8.778430455862427,20.39467240408253,0.10886980708528116,0.09188949903570279,controlled-occlusion,Pallet_3,industrial,outdoor-day,True
16,f0016,146.83185081541666,25.45795216168684,1.240685804344519,1.2406858078040388,25.45795249727085,1.0376623734597674,0.6889093044245966,clean-static,Pallet_0,industrial,indoor,False
17,f0017,90.57878918442955,14.94753443426007,2.5288738079248043,2.5288738094862357,14.947534566773257,0.4424319134924273,0.27453640921703254,cargo-only,Pallet_2,industrial,outdoor-night,True
18,f0018,5.616558507994568,21.21505917790982,3.8241801184559057,3.82418014239929,21.215059135950042,0.23906148484233064,0.17118164314128662,context-rich,Pallet_1,industrial,random-mix,True
19,f0019,290.6794746255614,15.694940041853828,2.3027780198915115,2.302777858946684,15.694941278573543,0.5383431873116838,0.45223713249218417,controlled-occlusion,Pallet_1,industrial,random-mix,True
20,f0020,48.10062416438039,8.730468566772807,5.792892129876286,5.792892119110696,8.730468559825837,0.14196918989289728,0.08948684096306075,clean-static,Pallet_2,parking_lot,indoor,False
21,f0021,325.8895639651052,15.776734173290162,3.225540314893239,3.2255403325432015,15.776734140580912,0.24693438084579905,0.19374402236893995,cargo-only,Pallet_0,parking_lot,outdoor-day,True
22,f0022,237.91308811850666,43.016568905169194,1.421638909774814,1.4216389089806174,43.01656887086448,0.3518571308125492,0.2841566242750049,context-rich,Pallet_3,parking_lot,outdoor-night,True
23,f0023,142.73034566431704,2.8576236369649917,1.3782979071039032,1.3782978859311388,2.8576237099713273,0.6155104534985989,0.428300193211619,controlled-occlusion,Pallet_0,parking_lot,indoor,True
24,f0024,195.87745142064972,3.14283858719046,9.26450304133438,9.264503034843521,3.1428385778578223,0.1376811544502814,0.09991798617260138,context-rich,Pallet_2,parking_lot,outdoor-day,False
25,f0025,150.4864778918459,36.7484700450853,2.1681288274182857,2.1681288485553813,36.74846958192611,0.48555296580351115,0.2978416677098185,controlled-occlusion,Pallet_1,industrial,random-mix,False
26,f0026,243.2426475630329,24.83562166733678,1.8828698814486027,1.8828698915789606,24.835621712034378,0.8426101180452348,0.5530928093408818,clean-static,Pallet_2,parking_lot,indoor,False
27,f0027,282.29140997690394,36.78638185098963,1.2698730860167908,1.2698728600566471,36.78638959222285,0.9292899092585161,0.9101456753991708,cargo-only,Pallet_3,industrial,outdoor-night,True
