usable_id,frame_id,reproj_max_px,reproj_centroid_px,reproj_consistency_px,K_valid,pose_valid
0,f0000,6.703246762680666e-14,7.105427357601002e-15,5.684341886080802e-14,True,True
1,f0001,6.355287432313019e-14,6.355287432313019e-14,5.684341886080802e-14,True,True
2,f0002,1.1368683772161603e-13,7.105427357601002e-15,1.1368683772161603e-13,True,True
3,f0003,5.859285502108464e-14,0.0,5.684341886080802e-14,True,True
4,f0004,1.2710574864626038e-13,0.0,1.1368683772161603e-13,True,True
5,f0005,5.859285502108464e-14,5.859285502108464e-14,5.684341886080802e-14,True,True
6,f0006,6.355287432313019e-14,2.842170943040401e-14,5.684341886080802e-14,True,True
7,f0007,8.038873388460929e-14,2.842170943040401e-14,5.684341886080802e-14,True,True
8,f0008,1.2710574864626038e-13,0.0,1.1368683772161603e-13,True,True
9,f0009,5.859285502108464e-14,0.0,5.684341886080802e-14,True,True
10,f0010,6.355287432313019e-14,5.684341886080802e-14,5.684341886080802e-14,True,True
11,f0011,1.1368683772161603e-13,0.0,1.1368683772161603e-13,True,True
12,f0012,1.1718571004216928e-13,6.355287432313019e-14,1.1368683772161603e-13,True,True
13,f0013,5.684341886080802e-14,0.0,5.684341886080802e-14,True,True
14,f0014,1.2710574864626038e-13,0.0,1.1368683772161603e-13,True,True
15,f0015,7.105427357601002e-14,7.105427357601002e-14,5.684341886080802e-14,True,True
16,f0016,1.2710574864626038e-13,5.684341886080802e-14,1.1368683772161603e-13,True,True
17,f0017,1.2710574864626038e-13,0.0,1.1368683772161603e-13,True,True
18,f0018,5.684341886080802e-14,2.842170943040401e-14,5.684341886080802e-14,True,True
19,f0019,8.038873388460929e-14,2.842170943040401e-14,5.684341886080802e-14,True,True
20,f0020,5.684341886080802e-14,0.0,5.684341886080802e-14,True,True
21,f0021,5.684341886080802e-14,5.684341886080802e-14,5.684341886080802e-14,True,True
22,f0022,1.1368683772161603e-13,5.684341886080802e-14,1.1368683772161603e-13,True,True
23,f0023,5.859285502108464e-14,4.0194366942304644e-14,5.684341886080802e-14,True,True
24,f0024,4.263256414560601e-14,4.263256414560601e-14,2.842170943040401e-14,True,True
25,f0025,1.2710574864626038e-13,5.684341886080802e-14,1.1368683772161603e-13,True,True
26,f0026,2.864289338439558e-14,1.4210854715202004e-14,2.842170943040401e-14,True,True
27,f0027,1.1368683772161603e-13,0.0,1.1368683772161603e-13,True,True
28,f0028,4.618527782440651e-14,4.263256414560601e-14,4.618527782440651e-14,True,True
29,f0029,1.2710574864626038e-13,5.684341886080802e-14,1.1368683772161603e-13,True,True
30,f0030,6.355287432313019e-14,6.355287432313019e-14,5.684341886080802e-14,True,True
31,f0031,5.684341886080802e-14,4.0194366942304644e-14,5.684341886080802e-14,True,True
32,f0032,1.1368683772161603e-13,0.0,1.1368683772161603e-13,True,True
33,f0033,1.2710574864626038e-13,5.684341886080802e-14,1.1368683772161603e-13,True,True
34,f0034,1.2710574864626038e-13,1.2710574864626038e-13,1.1368683772161603e-13,True,True
35,f0035,6.07087979554246e-14,0.0,5.684341886080802e-14,True,True
36,f0036,1.2710574864626038e-13,0.0,1.1368683772161603e-13,True,True
37,f0037,8.038873388460929e-14,5.684341886080802e-14,5.684341886080802e-14,True,True
38,f0038,6.355287432313019e-14,0.0,5.684341886080802e-14,True,True
39,f0039,6.277857184170547e-14,5.718241383625821e-14,5.684341886080802e-14,True,True
40,f0040,1.1718571004216928e-13,1.4210854715202004e-14,1.1368683772161603e-13,True,True
41,f0041,5.684341886080802e-14,0.0,5.684341886080802e-14,True,True
42,f0042,5.718241383625821e-14,1.7763568394002505e-14,5.684341886080802e-14,True,True
43,f0043,5.684341886080802e-14,0.0,5.684341886080802e-14,True,True
44,f0044,1.2710574864626038e-13,5.684341886080802e-14,1.1368683772161603e-13,True,True
45,f0045,1.2710574864626038e-13,0.0,1.1368683772161603e-13,True,True
46,f0046,1.2710574864626038e-13,8.038873388460929e-14,1.1368683772161603e-13,True,True
47,f0047,6.355287432313019e-14,0.0,5.684341886080802e-14,True,True
48,f0048,1.2710574864626038e-13,0.0,1.1368683772161603e-13,True,True
49,f0049,1.1368683772161603e-13,6.355287432313019e-14,1.1368683772161603e-13,True,True
50,f0050,5.684341886080802e-14,1.4210854715202004e-14,5.684341886080802e-14,True,True
51,f0051,6.355287432313019e-14,5.684341886080802e-14,5.684341886080802e-14,True,True
52,f0052,1.1368683772161603e-13,5.684341886080802e-14,1.1368683772161603e-13,True,True
53,f0053,1.2710574864626038e-13,2.842170943040401e-14,1.1368683772161603e-13,True,True
54,f0054,2.4158453015843406e-13,2.842170943040401e-14,2.1316282072803006e-13,True,True
55,f0055,1.2710574864626038e-13,0.0,1.1368683772161603e-13,True,True
56,f0056,1.1368683772161603e-13,0.0,1.1368683772161603e-13,True,True
57,f0057,2.842170943040401e-14,0.0,2.842170943040401e-14,True,True
58,f0058,5.955433342649105e-14,5.684341886080802e-14,5.684341886080802e-14,True,True
59,f0059,8.038873388460929e-14,8.038873388460929e-14,5.684341886080802e-14,True,True
60,f0060,5.684341886080802e-14,2.842170943040401e-14,5.684341886080802e-14,True,True
