idx,frame_id,diagnostic_mode,stage,path,present,decode_ok,decode_error,sha256,content_sha256,width,height,area,all_black,rgb_sha256,within_frame_duplicate_group,cross_frame_duplicate_frame_count,cross_frame_duplicate_class
0,f0000,clean-static,m0,mask\f0000_m0.png,True,True,,d21dea5c29654c8543ec498b04214f42a664009f55d62fc9a3a2c1c8372d8e9a,31417f330c6f8cdc80cab986080941ab31ca0f92263b5a5d65f00bb3e71e5323,640,480,31029,False,aedbf5aae9260bc7462a8df47c6a8ccee178ec8496686db180daf80491e47f1b,m0+m1+m2+m3+m4 [expected_no_op],,
0,f0000,clean-static,m1,mask\f0000_m1.png,True,True,,1b34a8813bdbdcf2953932f60947e7690add9338c9080aab5e6d749f2669d1b3,31417f330c6f8cdc80cab986080941ab31ca0f92263b5a5d65f00bb3e71e5323,640,480,31029,False,aedbf5aae9260bc7462a8df47c6a8ccee178ec8496686db180daf80491e47f1b,m0+m1+m2+m3+m4 [expected_no_op],,
0,f0000,clean-static,m2,mask\f0000_m2.png,True,True,,62ee3dd590368b701890500b87cf301ab95a8383778a4e67e9754aeef570f0ae,31417f330c6f8cdc80cab986080941ab31ca0f92263b5a5d65f00bb3e71e5323,640,480,31029,False,aedbf5aae9260bc7462a8df47c6a8ccee178ec8496686db180daf80491e47f1b,m0+m1+m2+m3+m4 [expected_no_op],,
0,f0000,clean-static,m3,mask\f0000_m3.png,True,True,,693c1dd2381daa3c4af93fcb74962906f451b90c9109c41de50160b4238902ec,31417f330c6f8cdc80cab986080941ab31ca0f92263b5a5d65f00bb3e71e5323,640,480,31029,False,aedbf5aae9260bc7462a8df47c6a8ccee178ec8496686db180daf80491e47f1b,m0+m1+m2+m3+m4 [expected_no_op],,
0,f0000,clean-static,m4,mask\f0000_m4.png,True,True,,b9acc7985ea4803154deaa6524c5f739c8d35bb43b685af438ba8015181637d1,31417f330c6f8cdc80cab986080941ab31ca0f92263b5a5d65f00bb3e71e5323,640,480,31029,False,aedbf5aae9260bc7462a8df47c6a8ccee178ec8496686db180daf80491e47f1b,m0+m1+m2+m3+m4 [expected_no_op],,
1,f0001,controlled-occlusion,m0,mask\f0001_m0.png,True,True,,b24f8288974bdd9576a1466c4f8af6deff06f73790db82d0bd4dbfc5ccb27375,9a44b5b673ff92fafa73b7e759fa022040f4b849322e128c11bf46d74c68c8c4,960,540,25775,False,370e34c8edae5630584ae8ed9786cc0da0447381127cd7c093b49ea30b5828f5,m0+m1+m2+m3 [no_op_placed_but_not_occluding],,
1,f0001,controlled-occlusion,m1,mask\f0001_m1.png,True,True,,56cc5d04b00ceca4a0efb3e4c1285cd01703bc1387a8e6d2c529542faa8bed07,9a44b5b673ff92fafa73b7e759fa022040f4b849322e128c11bf46d74c68c8c4,960,540,25775,False,370e34c8edae5630584ae8ed9786cc0da0447381127cd7c093b49ea30b5828f5,m0+m1+m2+m3 [no_op_placed_but_not_occluding],,
1,f0001,controlled-occlusion,m2,mask\f0001_m2.png,True,True,,d4d82d58ca373a82c1a44679ade1f5d016686064bf9df135dba6e88d85d4e352,9a44b5b673ff92fafa73b7e759fa022040f4b849322e128c11bf46d74c68c8c4,960,540,25775,False,370e34c8edae5630584ae8ed9786cc0da0447381127cd7c093b49ea30b5828f5,m0+m1+m2+m3 [no_op_placed_but_not_occluding],,
1,f0001,controlled-occlusion,m3,mask\f0001_m3.png,True,True,,97b6dd537fef76435b5b010060397f370527e7eb68845e626794bfc152ae6be6,9a44b5b673ff92fafa73b7e759fa022040f4b849322e128c11bf46d74c68c8c4,960,540,25775,False,370e34c8edae5630584ae8ed9786cc0da0447381127cd7c093b49ea30b5828f5,m0+m1+m2+m3 [no_op_placed_but_not_occluding],,
1,f0001,controlled-occlusion,m4,mask\f0001_m4.png,True,True,,578887dc764a5e7b828b24160c689a3b2ce8647acf27dd1105f0d4e93a39dc77,31abcf68f8552bd1abcc3999c153285734b2307cc11076413ee09028eb653f22,960,540,18598,False,370e34c8edae5630584ae8ed9786cc0da0447381127cd7c093b49ea30b5828f5,,,
