idx,frame_id,rendered,physical_valid,gate_valid,pnp_eligible_candidate_2cell,pnp_eligible_candidate_3cell,pnp_eligible_candidate_4cell,tiny_warning,pnp_stress,bbox_vis_min_side_px,mask_m0_area,visible_kp_count,pnp_exact_success,physical_unknown,gate_unknown_fields
0,f0000,True,True,False,True,True,True,False,False,115.56034,31029,7,True,ground_continuity_pass,
1,f0001,True,True,True,True,True,True,False,False,134.53672,25775,7,True,ground_continuity_pass,
2,f0002,True,True,True,True,False,False,False,True,20.316734,6489,5,True,ground_continuity_pass,
3,f0003,True,True,True,True,True,True,False,False,88.109613,41972,5,True,ground_continuity_pass,
4,f0004,True,False,True,False,False,False,True,True,3.5219003,30,9,True,ground_continuity_pass,
5,f0005,True,True,True,True,True,True,False,False,101.99498,24596,7,True,ground_continuity_pass,
6,f0006,True,True,True,True,True,True,False,True,78.441644,14277,5,True,ground_continuity_pass,
7,f0007,True,True,True,True,True,True,False,False,171.16229,250550,5,True,ground_continuity_pass,
8,f0008,True,True,True,True,True,True,False,False,73.760461,99256,5,True,ground_continuity_pass,
9,f0009,True,True,True,False,False,False,True,True,13.874762,1217,9,True,ground_continuity_pass,
10,f0010,True,True,True,True,True,True,False,True,47.11254,3342,8,True,ground_continuity_pass,
11,f0011,True,True,True,True,True,True,False,True,39.612349,2454,9,True,ground_continuity_pass,
12,f0012,True,True,False,True,True,True,False,True,264.58422,394165,4,True,ground_continuity_pass,
13,f0013,True,True,True,True,True,True,False,False,132.9113,55537,5,True,ground_continuity_pass,
15,f0015,True,False,True,True,True,True,False,True,35.947337,1345,9,True,ground_continuity_pass,
16,f0016,True,True,True,True,True,True,False,False,298.51685,78151,9,True,ground_continuity_pass,
17,f0017,True,True,True,True,True,True,False,True,39.62272,2966,9,True,ground_continuity_pass,
18,f0018,True,True,False,True,True,True,False,False,255.52655,96436,7,True,ground_continuity_pass,
20,f0020,True,True,True,True,True,True,False,False,237.78781,43776,8,True,ground_continuity_pass,
21,f0021,True,False,True,True,True,False,False,True,24.240106,273,9,True,ground_continuity_pass,
22,f0022,True,True,True,True,True,True,False,False,80.680902,74202,5,True,ground_continuity_pass,
23,f0023,True,True,True,True,True,True,False,False,52.906237,9646,6,True,ground_continuity_pass,
24,f0024,True,True,True,True,True,True,False,False,330.81883,70192,9,True,ground_continuity_pass,
25,f0025,True,True,True,True,True,True,False,False,156.58777,57221,5,True,ground_continuity_pass,
26,f0026,True,True,True,True,True,True,False,False,173.51628,20032,8,True,ground_continuity_pass,
28,f0028,True,True,True,True,True,True,False,True,68.426676,4049,9,True,ground_continuity_pass,
29,f0029,True,True,True,True,True,True,False,False,142.05929,69628,5,True,ground_continuity_pass,
30,f0030,True,True,True,True,True,True,False,True,69.508207,6679,6,True,ground_continuity_pass,
31,f0031,True,True,False,True,True,True,False,False,44.778523,10167,5,True,ground_continuity_pass,
32,f0032,True,True,False,False,False,False,False,True,83.267925,297377,3,False,ground_continuity_pass,
33,f0033,True,True,True,True,True,True,False,False,81.084277,25034,6,True,ground_continuity_pass,
34,f0034,True,True,True,True,True,False,False,True,31.837924,3221,7,True,ground_continuity_pass,
35,f0035,True,False,True,False,False,False,True,True,13.638701,212,9,True,ground_continuity_pass,
36,f0036,True,True,True,True,True,True,False,False,40.960211,124785,5,True,ground_continuity_pass,
37,f0037,True,True,True,True,True,True,False,False,238.03493,85464,5,True,ground_continuity_pass,
38,f0038,True,True,True,True,True,True,False,False,64.297815,21976,5,True,ground_continuity_pass,
