idx,frame_id,diagnostic_mode,stage,path,present,decode_ok,decode_error,sha256,content_sha256,width,height,area,all_black,rgb_sha256,within_frame_duplicate_group,cross_frame_duplicate_frame_count,cross_frame_duplicate_class
0,f0000,clean-static,m0,mask\f0000_m0.png,True,True,,ffba6d679a7b0e711852062746eff19de10ba5b7f6d9822bf8f3925f573e76b3,31417f330c6f8cdc80cab986080941ab31ca0f92263b5a5d65f00bb3e71e5323,640,480,31029,False,aedbf5aae9260bc7462a8df47c6a8ccee178ec8496686db180daf80491e47f1b,m0+m1+m2+m3+m4 [expected_no_op],,
0,f0000,clean-static,m1,mask\f0000_m1.png,True,True,,2984712b89e8fa839a1d279c0e1ab658f4eef33a201405cb1bdf66494e8d3b20,31417f330c6f8cdc80cab986080941ab31ca0f92263b5a5d65f00bb3e71e5323,640,480,31029,False,aedbf5aae9260bc7462a8df47c6a8ccee178ec8496686db180daf80491e47f1b,m0+m1+m2+m3+m4 [expected_no_op],,
0,f0000,clean-static,m2,mask\f0000_m2.png,True,True,,138374ae6984f04eddeef260503deda4c1af76e30ef97b28c5fd8d6df8284dd3,31417f330c6f8cdc80cab986080941ab31ca0f92263b5a5d65f00bb3e71e5323,640,480,31029,False,aedbf5aae9260bc7462a8df47c6a8ccee178ec8496686db180daf80491e47f1b,m0+m1+m2+m3+m4 [expected_no_op],,
0,f0000,clean-static,m3,mask\f0000_m3.png,True,True,,7326b19ecc6cbfbcb15668ad63857b7e72457c9d86e7a7271171f6cb7e1130eb,31417f330c6f8cdc80cab986080941ab31ca0f92263b5a5d65f00bb3e71e5323,640,480,31029,False,aedbf5aae9260bc7462a8df47c6a8ccee178ec8496686db180daf80491e47f1b,m0+m1+m2+m3+m4 [expected_no_op],,
0,f0000,clean-static,m4,mask\f0000_m4.png,True,True,,abe3f4c718d25e8ce34cdcd4b934f41fe6e606953bff7c1b09ac5a7f23bd5073,31417f330c6f8cdc80cab986080941ab31ca0f92263b5a5d65f00bb3e71e5323,640,480,31029,False,aedbf5aae9260bc7462a8df47c6a8ccee178ec8496686db180daf80491e47f1b,m0+m1+m2+m3+m4 [expected_no_op],,
1,f0001,controlled-occlusion,m0,mask\f0001_m0.png,True,True,,fb11631e79a13d56be823a18026af6ce2267bd8f3dc5b11bab3a906533b7edf5,9a44b5b673ff92fafa73b7e759fa022040f4b849322e128c11bf46d74c68c8c4,960,540,25775,False,370e34c8edae5630584ae8ed9786cc0da0447381127cd7c093b49ea30b5828f5,m0+m1+m2+m3 [no_op_placed_but_not_occluding],,
1,f0001,controlled-occlusion,m1,mask\f0001_m1.png,True,True,,3a9ed5da952a941c0cb274dba70d1018430cd768c0bb056181d0bfbc0ad24cb7,9a44b5b673ff92fafa73b7e759fa022040f4b849322e128c11bf46d74c68c8c4,960,540,25775,False,370e34c8edae5630584ae8ed9786cc0da0447381127cd7c093b49ea30b5828f5,m0+m1+m2+m3 [no_op_placed_but_not_occluding],,
1,f0001,controlled-occlusion,m2,mask\f0001_m2.png,True,True,,9fce7e13ecc1145d3d634044b40400eb2bdffeb4ef76b98d8da5baec85739961,9a44b5b673ff92fafa73b7e759fa022040f4b849322e128c11bf46d74c68c8c4,960,540,25775,False,370e34c8edae5630584ae8ed9786cc0da0447381127cd7c093b49ea30b5828f5,m0+m1+m2+m3 [no_op_placed_but_not_occluding],,
1,f0001,controlled-occlusion,m3,mask\f0001_m3.png,True,True,,5781202767d3b91a6d13a5533550f50ff947da52f84958e2730158c08381d3a1,9a44b5b673ff92fafa73b7e759fa022040f4b849322e128c11bf46d74c68c8c4,960,540,25775,False,370e34c8edae5630584ae8ed9786cc0da0447381127cd7c093b49ea30b5828f5,m0+m1+m2+m3 [no_op_placed_but_not_occluding],,
1,f0001,controlled-occlusion,m4,mask\f0001_m4.png,True,True,,8b153da4c7dd160bb8db0c7ae2f03fb3c6bb5ab301f113caae793e347a4dce5d,31abcf68f8552bd1abcc3999c153285734b2307cc11076413ee09028eb653f22,960,540,18598,False,370e34c8edae5630584ae8ed9786cc0da0447381127cd7c093b49ea30b5828f5,,,
2,f0002,controlled-occlusion,m0,mask\f0002_m0.png,True,True,,be394ff63d07d2d127f45636d4cfd804031f35380d553b62c4d299d1fd269ee8,eb4628a8049e470aa0387da175b449414a092f0c8dc2e2106f7cc4552965021e,560,560,6489,False,bb2b45794423adf37aff762ec37e98360b838ebcfc6f574d044c1a7e2a3baadd,m0+m1+m2 [expected_no_op],,
2,f0002,controlled-occlusion,m1,mask\f0002_m1.png,True,True,,ae36dfbd1f291e83b3c34e19e063f9c9a2e700de25a73900680ed5775526b9a3,eb4628a8049e470aa0387da175b449414a092f0c8dc2e2106f7cc4552965021e,560,560,6489,False,bb2b45794423adf37aff762ec37e98360b838ebcfc6f574d044c1a7e2a3baadd,m0+m1+m2 [expected_no_op],,
